"","id","created_time","snippet","headline"
"117",7,"2001-12-08T05:00:00+0000","Article describes scene at Community of the Cross of Nails reconciliation conference in Charlotte, NC; main topic is how Christians and Muslims deal with terrorist attacks as well as conflict in Afghanistan and Israel (M)","Religion Journal; Christianity and Islam Seek Way to Go Forward"
"118",8,"2001-12-02T05:00:00+0000","Ron Suskind article on Ibatan people of Babuyan Claro, island 100 miles north of Philippine mainland, who have been introduced to modern world in 25 years since Rundell Maree first arrived to give them written language and the Bible; premodern exi...","A Plunge into the Present"
"119",9,"2001-11-23T05:00:00+0000","Sept 11 terrorist attacks invigorate apocalyptic brand of theology embraced by many Christian evangelicals and fundamentalists, who view collapse of World Trade Center towers as latest harbinger of end times; Christian bookstores across nation rep...","Apocalyptic Theology Revitalized by Attacks"
"120",10,"2001-11-10T05:00:00+0000","Peter Steinfels Beliefs column observes that some Christian groups give only guarded support to war on terrorism in Afghanistan (M)","Beliefs; A military campaign, the calls for caution and some complex roots in Christian thought."
"121",1,"2001-11-17T05:00:00+0000","Apartment fire in Crown Heights section of Brooklyn claims lives of three children, Darryl Wallace, Christian Riddel and Davel Riddel; all were foster children cared for by Betty Ballard, who is also treated for minor burns, and her husband Carmel...","Death Toll Climbs to 3 After Fire In Brooklyn"
"122",2,"2001-11-17T05:00:00+0000","Dayna Curry and Heather Mercer speak publicly for first time about their ordeal in Afghanistan, where they were arrested in August with six other Christian aid workers on charges of breaking laws against spreading Christianity; say 80 percent of c...","U.S. Relief Workers Tell of Fear and Faith"
"123",3,"2001-11-16T05:00:00+0000","Waiting in the predawn cold in western Afghanistan, eight terrified Christian aid workers were not sure who would arrive first, American forces dispatched to rescue them or Taliban soldiers.","U.S. Aid Workers Describe Their Rescue From the Taliban"
"124",4,"2001-11-06T05:00:00+0000","Sujo John, survivor of World Trade Center attack and fervent Christian, preaches about his escape to congregation of First Family Church in Overland Park, Kansas; photo; Calcutta native has become traveling preacher in weeks since his escape (M)","In Pulpits, a Grateful Christian Testifies to Deliverance"
"125",5,"2001-11-15T05:00:00+0000","Eight Western aid workers, including two Americans, are plucked out of Afghanistan by United States military helicopters and flown to Pakistan; they were arrested and imprisoned by Taliban in Kabul on Aug 5, accused of preaching Christianity; they...","U.S. Flies Aid Workers to Safety in Pakistan"
"126",6,"2001-11-14T05:00:00+0000","Bob Eckhardt, who survived for 14 years in Congress as a liberal Democrat from Houston despite a constituency that was considerably to his right politically, died on Tuesday in his hometown of Austin, Tex. He was 88.","Bob Eckhardt, 88; Served 14 Years in U.S. House"
"127",7,"2001-11-04T05:00:00+0000","Pakistani officials say they have no firm suspects, nearly week after 15 Christian worshipers and police officer on duty outside their church in Bahawalpur were gunned down and killed; survivors at scene say six men who carried out massacre gave n...","Pakistani Officials Say They Have No Firm Suspects in Massacre at Christian Church"
